resp,link,title
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/,Profile
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/traditional/,Traditional
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/advanced/,Advanced
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/misc/,Misc
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/scoring/,Scoring
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/usage/,Usage
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/shooting/,Shooting
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/career/,Career
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/boxscores/,Box Scores
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/boxscores-traditional/,Advanced Box Scores Traditional
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/boxscores-advanced/,Advanced Box Scores Advanced
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/boxscores-misc/,Advanced Box Scores Misc
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/boxscores-scoring/,Advanced Box Scores Scoring
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/boxscores-usage/,Advanced Box Scores Usage
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/shots-dash/,Shots Dashboard
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/rebounds-dash/,Rebounds Dashboard
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/passes-dash/,Passes Dashboard
<200 https://stats.nba.com/schedule/>,/player/{{ player.id }}/defense-dash/,Defense Dashboard
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/,Profile
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/traditional/,Traditional
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/advanced/,Advanced
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/four-factors/,Four Factors
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/misc/,Misc
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/scoring/,Scoring
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/opponent/,Opponent
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/shooting/,Shooting
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/lineups-traditional/,Lineups Traditional
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/lineups-advanced/,Lineups Advanced
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/lineups-four-factors/,Lineups Four Factors
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/lineups-misc/,Lineups Misc
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/lineups-scoring/,Lineups Scoring
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/lineups-opponent/,Lineups Opponent
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/players-traditional/,Players Traditional
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/players-advanced/,Players Advanced
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/players-misc/,Players Misc
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/players-scoring/,Players Scoring
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/players-usage/,Players Usage
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/onoffcourt-traditional/,On/Off Court Traditional
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/onoffcourt-advanced/,On/Off Court Advanced
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/onoffcourt-four-factors/,On/Off Court Four Factors
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/onoffcourt-misc/,On/Off Court Misc
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/onoffcourt-scoring/,On/Off Court Scoring
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/onoffcourt-opponent/,On/Off Court Opponent
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/onoffcourt-summary/,On/Off Court Summary
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/shots-dash/,Shots Dashboard
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/rebounds-dash/,Rebounds Dashboard
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/passes-dash/,Passes Dashboard
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/boxscores/,Box Scores
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/boxscores-traditional/,Advanced Box Scores Traditional
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/boxscores-advanced/,Advanced Box Scores Advanced
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/boxscores-four-factors/,Advanced Box Scores Four Factors
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/boxscores-misc/,Advanced Box Scores Misc
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/boxscores-scoring/,Advanced Box Scores Scoring
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/seasons/,Seasons
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/yearoveryear/,Year Over Year
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/franchise-leaders/,Franchise Leaders
<200 https://stats.nba.com/schedule/>,/team/{{ team.id }}/historic-roster/,Historic Roster
<200 https://stats.nba.com/schedule/>,/vs/,Traditional
<200 https://stats.nba.com/schedule/>,/vs/advanced/,Advanced
<200 https://stats.nba.com/schedule/>,/vs/misc/,Misc
<200 https://stats.nba.com/schedule/>,/vs/scoring/,Scoring
<200 https://stats.nba.com/schedule/>,/vs/four-factors/,Four Factors
<200 https://stats.nba.com/schedule/>,/vs/opponent/,Opponent
<200 https://stats.nba.com/schedule/>,/game/{{ game.id }}/,Box Score
<200 https://stats.nba.com/schedule/>,/game/{{ game.id }}/advanced/,Advanced
<200 https://stats.nba.com/schedule/>,/game/{{ game.id }}/misc/,Misc
<200 https://stats.nba.com/schedule/>,/game/{{ game.id }}/scoring/,Scoring
<200 https://stats.nba.com/schedule/>,/game/{{ game.id }}/usage/,Usage
<200 https://stats.nba.com/schedule/>,/game/{{ game.id }}/four-factors/,Four Factors
<200 https://stats.nba.com/schedule/>,/game/{{ game.id }}/tracking/,Player Tracking
<200 https://stats.nba.com/>,/player/{{ player.id }}/,Profile
<200 https://stats.nba.com/>,/player/{{ player.id }}/traditional/,Traditional
<200 https://stats.nba.com/>,/player/{{ player.id }}/advanced/,Advanced
<200 https://stats.nba.com/>,/player/{{ player.id }}/misc/,Misc
<200 https://stats.nba.com/>,/player/{{ player.id }}/scoring/,Scoring
<200 https://stats.nba.com/>,/player/{{ player.id }}/usage/,Usage
